id	code	symbol	name	rootShape	handCommands	activeFingers	fingerShapeCommands
278081	0x43e41	񃹁	HAND-HINGE INDEX MIDDLE LITTLE	HINGE		INDEX,MIDDLE,LITTLE		
278177	0x43ea1	񃺡	HAND-HINGE RING	HINGE		RING		
278273	0x43f01	񃼁	HAND-ANGLE INDEX MIDDLE LITTLE	ANGLE		INDEX,MIDDLE,LITTLE		
278369	0x43f61	񃽡	HAND-FIST INDEX MIDDLE CROSS LITTLE	FIST		INDEX,MIDDLE,LITTLE		CROSS(MIDDLE:LITTLE)
278465	0x43fc1	񃿁	HAND-CIRCLE INDEX MIDDLE CROSS LITTLE	CIRCLE		INDEX,MIDDLE,LITTLE		CROSS(MIDDLE:LITTLE)
278561	0x44021	񄀡	HAND-FIST RING DOWN	FIST		RING	RING:DOWN	
278657	0x44081	񄂁	HAND-HINGE RING DOWN INDEX THUMB HOOK MIDDLE	HINGE		RING,INDEX,THUMB,MIDDLE	RING:DOWN	GROUP(HOOKED:INDEX|THUMB)
278753	0x440e1	񄃡	HAND-ANGLE RING DOWN MIDDLE THUMB INDEX CROSS	ANGLE		RING,MIDDLE,THUMB,INDEX	RING:DOWN	CROSS(INDEX:)
278849	0x44141	񄅁	HAND-FIST RING UP	FIST		RING	RING:UP	
278945	0x441a1	񄆡	HAND-FIST RING RAISED KNUCKLE	FIST		RING	RING:RAISED_KNUCKLE	
279041	0x44201	񄈁	HAND-FIST RING LITTLE	FIST		RING,LITTLE		
279137	0x44261	񄉡	HAND-CIRCLE RING LITTLE	CIRCLE		RING,LITTLE		
279233	0x442c1	񄋁	HAND-OVAL RING LITTLE	OVAL		RING,LITTLE		
279329	0x44321	񄌡	HAND-ANGLE RING LITTLE	ANGLE		RING,LITTLE		
279425	0x44381	񄎁	HAND-FIST RING MIDDLE	FIST		RING,MIDDLE		
279521	0x443e1	񄏡	HAND-FIST RING MIDDLE CONJOINED	FIST		RING,MIDDLE		GROUP(CONJOINED:RING|MIDDLE)
279617	0x44441	񄑁	HAND-FIST RING MIDDLE RAISED KNUCKLES	FIST		RING,MIDDLE	RING:RAISED_KNUCKLE,MIDDLE:RAISED_KNUCKLE	
